author,title,description,url,urlToImage,publishedAt,content,id,name,search_date
Matthew Sledge,Elizabeth Warren’s Crypto Haters Are Burning Cash in Her Senate Race,"Crypto big shots have spent more than three times on her opponent as small donors.
The post Elizabeth Warren’s Crypto Haters Are Burning Cash in Her Senate Race appeared first on The Intercept.",https://theintercept.com/2024/10/16/elizabeth-warren-john-deaton-crypto-donors/,https://theintercept.com/wp-content/uploads/2024/10/GettyImages-1528510570-e1729088905455.jpg?fit=5222%2C2611&w=1200&h=800,2024-10-16T15:24:17Z,"Theres zero chance
 that a Republican will win this years Senate election in Massachusetts. That hasnt stopped the crypto industry from lighting money on fire in a doomed bid to defeat Sen. Elizabet… [+2676 chars]",,The Intercept,2024-10-20 14:44:15.540950
fdemott@insider.com (Filip De Mott),Stock market today: Indexes fall from records as chip rout drags tech shares lower,"Dutch firm ASML led the semiconductor rout, falling 16% after it cut 2025 sales guidance.",https://markets.businessinsider.com/news/stocks/stock-market-today-semiconductor-chip-nvidia-asml-rout-oil-prices-2024-10,https://i.insider.com/660ea84b3f923f7dab0481f1?width=1024&format=jpeg,2024-10-15T20:23:48Z,"A drop in chipmaker shares on Tuesday hit pause on the latest rally, yanking indexes from the record highs achieved in the previous session. 
The tech-heavy Nasdaq dropped 1% as Tuesday's session de… [+1490 chars]",business-insider,Business Insider,2024-10-20 14:44:15.540950
jsor@businessinsider.com (Jennifer Sor),Stock market today: Indexes mixed as traders look to recover from chip sell-off,Stocks wavered after Tuesday's chip sell-off. Morgan Stanley shares popped after the bank beat earnings estimates on strong investment banking activity.,https://markets.businessinsider.com/news/stocks/stock-market-today-chip-stocks-asml-nvidia-morgan-stanley-earnings-2024-10,https://i.insider.com/670fc0826ac7b701e7cc0122?width=1200&format=jpeg,2024-10-16T13:54:50Z,"US stocks wavered on Wednesday as traders looked to recover from a sell-off in the chip sector and waited for another round of corporate earnings reports. 
The S&amp;P 500 edged further from record … [+1429 chars]",business-insider,Business Insider,2024-10-20 14:44:15.540950
Samir Rahmoune,Elon Musk manigance quelque chose avec les 11 509 bitcoins de Tesla : que nous réserve-t-il ?,Les bitcoins qui restaient entre les mains de Tesla viennent de bouger pour la première fois en deux ans. Elon Musk aurait-il envie de regarnir sa bourse ?,https://www.clubic.com/actualite-540743-elon-musk-manigance-quelque-chose-avec-les-11-509-bitcoins-de-tesla-que-nous-reserve-t-il.html,https://pic.clubic.com/v1/images/1878278/raw,2024-10-16T16:33:00Z,"Et si l'information commence à circuler, il faut aussi ajouter qu'aucune communication n'a été faite par Tesla sur ces transferts. On ne sait donc pas officiellement pourquoi la décision de déplacer … [+550 chars]",,Clubic,2024-10-20 14:44:15.540950
Lucas Handley,El FBI arresta a un hombre que buscó ‘¿Cómo saber si estoy siendo investigado por el FBI?’,Eric Counsel Jr. está acusado de ayudar a hackear la cuenta de X (anteriormente Twitter) de la Comisión de Bolsa y Valores de EE.UU. (SEC) para publicar información falsa sobre Bitcoin.,https://es.gizmodo.com/el-fbi-arresta-a-un-hombre-que-busco-como-saber-si-estoy-siendo-investigado-por-el-fbi-2000131807,https://es.gizmodo.com/app/uploads/2024/10/Diseno-sin-titulo-52-2.jpg,2024-10-17T23:37:57Z,"El FBI ha arrestado a un hombre de Alabama que presuntamente hackeó la cuenta de X de la SEC para publicar información errónea sobre Bitcoin, lo que brevemente elevó el precio de la criptomoneda en $… [+2710 chars]",,Gizmodo.com,2024-10-20 14:44:15.540950
Lucas Handley,Un hombre que tiró un disco duro con $500 millones en Bitcoin demanda al gobierno local para buscar en el basurero,¿Qué harías si tiras a la basura medio billón de dólares en criptomonedas?,https://es.gizmodo.com/un-hombre-que-tiro-un-disco-duro-con-500-millones-en-bitcoin-demanda-al-gobierno-local-para-buscar-en-el-basurero-2000131716,https://es.gizmodo.com/app/uploads/2024/10/Diseno-sin-titulo-49-2.jpg,2024-10-17T13:02:00Z,"Durante la última década, un hombre galés ha estado suplicando a su gobierno local que le permita inspeccionar el contenido del vertedero de la ciudad. James Howells, un residente de Newport de 39 añ… [+3202 chars]",,Gizmodo.com,2024-10-20 14:44:15.540950
"Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Will Bitcoin Reach $100K?,The buzz around cryptocurrencies is back with Bitcoin prices getting a boost this year and investors and the media renewing their interest.,https://www.forbes.com/sites/greatspeculations/2024/10/17/will-bitcoin-reach-100k/,https://imageio.forbes.com/specials-images/imageserve/6710a88c0dbf228b4a13c8e1/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T12:00:20Z,"UNITED KINGDOM - 2024/10/08: In this photo illustration, the Bitcoin logo seen displayed on a ... [+] smartphone with stock market graphs in the background. (Photo Illustration by Dominika Zarzycka/S… [+5329 chars]",,Forbes,2024-10-20 14:44:15.540950
"Clem Chambers, Senior Contributor, 
 Clem Chambers, Senior Contributor
 https://www.forbes.com/sites/investor/people/clem/",Did Bitcoin Just Breakout? This Is The One Chart You Need To See,Bitcoin is trading at its highest level since July.,https://www.forbes.com/sites/digital-assets/2024/10/18/did-bitcoin-just-breakout-this-is-the-one-chart-you-need-to-see/,https://imageio.forbes.com/specials-images/imageserve/671261042842154ff2256be0/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-18T16:18:18Z,"(Photo by Dan Kitwood/Getty Images)
Getty Images
I like charts simple. If you put enough lines on a chart you can make a case for anything, so the simpler, the more emphatic, the better.
Here is t… [+2944 chars]",,Forbes,2024-10-20 14:44:15.540950
"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/",‘$500 Billion In Three Weeks’—Tesla Billionaire Elon Musk Issues ‘Crazy’ Fed ‘Bankruptcy’ Warning After Sparking Bitcoin Price Panic,"Tesla CEO Elon Musk has warned that the U.S. is hurtling toward the brink of ""bankruptcy""...",https://www.forbes.com/sites/digital-assets/2024/10/18/500-billion-in-three-weeks-tesla-billionaire-elon-musk-issues-crazy-fed-bankruptcy-warning-after-sparking-bitcoin-price-panic/,"https://imageio.forbes.com/specials-images/imageserve/671227841b0887bd5a05283e/0x0.jpg?format=jpg&crop=937,664,x282,y137,safe&height=900&width=1600&fit=bounds",2024-10-18T10:55:36Z,"Tesla billionaire Elon Musk, who could be about to put ""dogecoin in the Treasury,"" sparked bitcoin price panic this week when Tesla suddenly moved its bitcoin.
Unlock over $3,000 in perks including … [+3909 chars]",,Forbes,2024-10-20 14:44:15.540950
"Edan Yago, Contributor, 
 Edan Yago, Contributor
 https://www.forbes.com/sites/edanyago/",3 Ways Bitcoin Is Like Digital Real Estate,"Universally desirable, bitcoin is a global, censorship resistant, neutral reserve asset with no counterparty risk.",https://www.forbes.com/sites/edanyago/2024/10/16/3-ways-bitcoin-is-like-digital-real-estate/,"https://imageio.forbes.com/specials-images/imageserve/670ecaedcc0ef59c10f71e73/0x0.jpg?format=jpg&crop=3887,2185,x0,y0,safe&height=900&width=1600&fit=bounds",2024-10-16T16:00:00Z,"MIAMI, FLORIDA - APRIL 7: Michael Saylor, Chairman &amp; CEO, MicroStrategy, gestures as he speaks ... [+] during the Bitcoin 2022 Conference at Miami Beach Convention Center on April 7, 2022 in Miam… [+5387 chars]",,Forbes,2024-10-20 14:44:15.540950
"Susie Violet Ward, Contributor, 
 Susie Violet Ward, Contributor
 https://www.forbes.com/sites/susievioletward/",Craig Wright Who Is Not Satoshi Launches Bitcoin Core Legal Battle,"Craig Wright, discredited by UK courts in his claim to be Satoshi Nakamoto, is launching a new legal battle against Bitcoin Core developers, seeking £911B in damages.",https://www.forbes.com/sites/digital-assets/2024/10/18/craig-wright-who-is-not-satoshi-launches-bitcoin-core-legal-battle/,https://imageio.forbes.com/specials-images/imageserve/6711fbd8f2fc5590277bd90f/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-18T06:13:19Z,"LONDON, ENGLAND - FEBRUARY 06: Dr. Craig Wright arrives at the Rolls Building, part of the Royal ... [+] Courts of Justice on February 06, 2024 in London, England. The Australian-born and English-res… [+5211 chars]",,Forbes,2024-10-20 14:44:15.540950
"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/",A Fed ‘Nightmare’ Is Predicted To Spark A Bitcoin Price ‘Tipping Point’,"Billionaire investor Stanley Druckenmiller has predicted a market ""melt up"" as the bitcoin price approaches ""a tipping point...",https://www.forbes.com/sites/digital-assets/2024/10/17/a-fed-nightmare-is-predicted-to-spark-a-bitcoin-price-tipping-point/,https://imageio.forbes.com/specials-images/imageserve/633c2741f081733a2a78b209/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T11:25:44Z,"BitcoinBitcoin
has surged this week as the market is hit by a China ""tsunami"" and former U.S. president Donald Trump teases ""big news.""
Unlock over $3,000 in perks including unparalleled access to … [+3702 chars]",,Forbes,2024-10-20 14:44:15.540950
"Ty Roush, Forbes Staff, 
 Ty Roush, Forbes Staff
 https://www.forbes.com/sites/tylerroush/",Alabama Man Charged With Hacking SEC’s X Account—Causing Bitcoin To Spike,A fake tweet announced the approval for the first spot bitcoin exchange-traded funds before the agency regained control of its social media.,https://www.forbes.com/sites/tylerroush/2024/10/17/alabama-man-charged-with-hacking-secs-x-account-causing-bitcoin-to-spike/,"https://imageio.forbes.com/specials-images/imageserve/671163063e696b4cab3adaf7/0x0.jpg?format=jpg&crop=2843,1598,x0,y10,safe&height=900&width=1600&fit=bounds",2024-10-17T19:20:05Z,"An Alabama resident was arrested on Thursday for allegedly hacking the Securities and Exchange Commissions X account earlier this year and posting a false claim about cryptocurrency, an incident that… [+2248 chars]",,Forbes,2024-10-20 14:44:15.540950
"Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/",A Donald Trump Crypto Bombshell Has Suddenly Blown Up The Bitcoin Price,The sale of a new cryptocurrency backed by former U.S. president Donald Trump has sent the bitcoin price and crypto market sharply higher—as Trump's odds of retaking the White House next month climb...,https://www.forbes.com/sites/digital-assets/2024/10/15/a-donald-trump-crypto-bombshell-has-suddenly-blown-up-the-bitcoin-price/,https://imageio.forbes.com/specials-images/imageserve/670e77da0adc399f421e08b2/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-15T14:21:04Z,"BitcoinBitcoin
 has suddenly surged after rocketing into the new week on the back of a China earthquake.
Unlock over $3,000 in perks including unparalleled access to a community of top Web3 entrepr… [+2126 chars]",,Forbes,2024-10-20 14:44:15.540950
"Clem Chambers, Senior Contributor, 
 Clem Chambers, Senior Contributor
 https://www.forbes.com/sites/investor/people/clem/",Bitcoin Facing A Trump Ramp Or A Harris Dump,Bitcoin is at the top of its sideways channel. It’s a faintly bearish channel but the setup looks promising for now. But U.S. election results will have an impact.,https://www.forbes.com/sites/digital-assets/2024/10/15/bitcoin-facing-a-trump-ramp-or-a-harris-dump/,https://imageio.forbes.com/specials-images/imageserve/670e71ccfdfda8c51d90035e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-15T14:24:40Z,"U.S. election results can change the direction of the price of bitcoin.
getty
Bitcoin (BTC) is at the top of its sideways channel. Its a faintly bearish channel but the setup looks promising for no… [+3192 chars]",,Forbes,2024-10-20 14:44:15.540950
"Korok Ray, Contributor, 
 Korok Ray, Contributor
 https://www.forbes.com/sites/korokray/",Forecasting Bitcoin’s Price Using Annualized Rates Of Return,Using AAR is a simple way to project forward.,https://www.forbes.com/sites/digital-assets/2024/10/17/forecasting-bitcoins-price-using-annualized-rates-of-return/,https://imageio.forbes.com/specials-images/imageserve/670e7acd937d3d35ee644a73/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T13:00:00Z,"KRAKOW, POLAND - 2022/01/05: People walk past a Bitcoin ATM. (Photo by Omar Marques/SOPA ... [+] Images/LightRocket via Getty Images)
SOPA Images/LightRocket via Getty Images
At Bitcoin 2024 in Nas… [+3582 chars]",,Forbes,2024-10-20 14:44:15.540950
"Korok Ray, Contributor, 
 Korok Ray, Contributor
 https://www.forbes.com/sites/korokray/",Forecasting Bitcoin’s Price Using Annualized Rates Of Return (AAR),Using AAR is a simple way to project forward.,https://www.forbes.com/sites/digital-assets/2024/10/17/forecasting-bitcoins-price-using-annualized-rates-of-return-aar/,https://imageio.forbes.com/specials-images/imageserve/670e7acd937d3d35ee644a73/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T13:00:00Z,"KRAKOW, POLAND - 2022/01/05: People walk past a Bitcoin ATM. (Photo by Omar Marques/SOPA ... [+] Images/LightRocket via Getty Images)
SOPA Images/LightRocket via Getty Images
At Bitcoin 2024 in Nas… [+3582 chars]",,Forbes,2024-10-20 14:44:15.540950
"Lawrence Wintermeyer, Contributor, 
 Lawrence Wintermeyer, Contributor
 https://www.forbes.com/sites/lawrencewintermeyer/",The Growing Gap For Investors Outside The U.S. To Access Crypto ETFs,"While U.S. investors are benefiting from the crypto ETF surge, retail investors outside the U.S. face barriers in accessing crypto ETFs, limiting global adoption.",https://www.forbes.com/sites/lawrencewintermeyer/2024/10/17/the-growing-gap-for-investors-outside-the-us-to-access-crypto-etfs/,https://imageio.forbes.com/specials-images/imageserve/671096a04141e8eb286abf7e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-10-17T13:00:29Z,"Jumping through the gap to achieve financial goals
getty
The U.S. crypto exchange-traded fund (ETF) market has experienced tremendous growth in 2024, fueled by bitcoin and Ethereum ETFs. As of Augu… [+7571 chars]",,Forbes,2024-10-20 14:44:15.540950
